tile_id,cloud_cover,date,spatial_cover,links
T14SQD,0,2022-06-30,91,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQD.2022181T165901.v2.0/HLS.S30.T14SQD.2022181T165901.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQD.2022181T165901.v2.0/HLS.S30.T14SQD.2022181T165901.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQD.2022181T165901.v2.0/HLS.S30.T14SQD.2022181T165901.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQD.2022181T165901.v2.0/HLS.S30.T14SQD.2022181T165901.v2.0.B8A.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQD.2022181T165901.v2.0/HLS.S30.T14SQD.2022181T165901.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQD.2022181T165901.v2.0/HLS.S30.T14SQD.2022181T165901.v2.0.B12.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQD.2022181T165901.v2.0/HLS.S30.T14SQD.2022181T165901.v2.0.Fmask.tif'}"
T14SQD,1,2022-09-28,90,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQD.2022271T170111.v2.0/HLS.S30.T14SQD.2022271T170111.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQD.2022271T170111.v2.0/HLS.S30.T14SQD.2022271T170111.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQD.2022271T170111.v2.0/HLS.S30.T14SQD.2022271T170111.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQD.2022271T170111.v2.0/HLS.S30.T14SQD.2022271T170111.v2.0.B8A.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQD.2022271T170111.v2.0/HLS.S30.T14SQD.2022271T170111.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQD.2022271T170111.v2.0/HLS.S30.T14SQD.2022271T170111.v2.0.B12.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQD.2022271T170111.v2.0/HLS.S30.T14SQD.2022271T170111.v2.0.Fmask.tif'}"
T14SQC,1,2022-03-02,99,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQC.2022061T170221.v2.0/HLS.S30.T14SQC.2022061T170221.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQC.2022061T170221.v2.0/HLS.S30.T14SQC.2022061T170221.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQC.2022061T170221.v2.0/HLS.S30.T14SQC.2022061T170221.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQC.2022061T170221.v2.0/HLS.S30.T14SQC.2022061T170221.v2.0.B8A.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQC.2022061T170221.v2.0/HLS.S30.T14SQC.2022061T170221.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQC.2022061T170221.v2.0/HLS.S30.T14SQC.2022061T170221.v2.0.B12.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQC.2022061T170221.v2.0/HLS.S30.T14SQC.2022061T170221.v2.0.Fmask.tif'}"
T14SQC,0,2022-06-20,99,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQC.2022171T165901.v2.0/HLS.S30.T14SQC.2022171T165901.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQC.2022171T165901.v2.0/HLS.S30.T14SQC.2022171T165901.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQC.2022171T165901.v2.0/HLS.S30.T14SQC.2022171T165901.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQC.2022171T165901.v2.0/HLS.S30.T14SQC.2022171T165901.v2.0.B8A.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQC.2022171T165901.v2.0/HLS.S30.T14SQC.2022171T165901.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQC.2022171T165901.v2.0/HLS.S30.T14SQC.2022171T165901.v2.0.B12.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQC.2022171T165901.v2.0/HLS.S30.T14SQC.2022171T165901.v2.0.Fmask.tif'}"
T14SQC,2,2022-09-28,99,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQC.2022271T170111.v2.0/HLS.S30.T14SQC.2022271T170111.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQC.2022271T170111.v2.0/HLS.S30.T14SQC.2022271T170111.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQC.2022271T170111.v2.0/HLS.S30.T14SQC.2022271T170111.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQC.2022271T170111.v2.0/HLS.S30.T14SQC.2022271T170111.v2.0.B8A.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQC.2022271T170111.v2.0/HLS.S30.T14SQC.2022271T170111.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQC.2022271T170111.v2.0/HLS.S30.T14SQC.2022271T170111.v2.0.B12.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQC.2022271T170111.v2.0/HLS.S30.T14SQC.2022271T170111.v2.0.Fmask.tif'}"
T14SQB,1,2022-03-12,99,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQB.2022071T170111.v2.0/HLS.S30.T14SQB.2022071T170111.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQB.2022071T170111.v2.0/HLS.S30.T14SQB.2022071T170111.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQB.2022071T170111.v2.0/HLS.S30.T14SQB.2022071T170111.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQB.2022071T170111.v2.0/HLS.S30.T14SQB.2022071T170111.v2.0.B8A.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQB.2022071T170111.v2.0/HLS.S30.T14SQB.2022071T170111.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQB.2022071T170111.v2.0/HLS.S30.T14SQB.2022071T170111.v2.0.B12.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQB.2022071T170111.v2.0/HLS.S30.T14SQB.2022071T170111.v2.0.Fmask.tif'}"
T14SQB,4,2022-06-20,99,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQB.2022171T165901.v2.0/HLS.S30.T14SQB.2022171T165901.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQB.2022171T165901.v2.0/HLS.S30.T14SQB.2022171T165901.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQB.2022171T165901.v2.0/HLS.S30.T14SQB.2022171T165901.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQB.2022171T165901.v2.0/HLS.S30.T14SQB.2022171T165901.v2.0.B8A.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQB.2022171T165901.v2.0/HLS.S30.T14SQB.2022171T165901.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQB.2022171T165901.v2.0/HLS.S30.T14SQB.2022171T165901.v2.0.B12.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQB.2022171T165901.v2.0/HLS.S30.T14SQB.2022171T165901.v2.0.Fmask.tif'}"
T14SQB,5,2022-09-28,99,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQB.2022271T170111.v2.0/HLS.S30.T14SQB.2022271T170111.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQB.2022271T170111.v2.0/HLS.S30.T14SQB.2022271T170111.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQB.2022271T170111.v2.0/HLS.S30.T14SQB.2022271T170111.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQB.2022271T170111.v2.0/HLS.S30.T14SQB.2022271T170111.v2.0.B8A.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQB.2022271T170111.v2.0/HLS.S30.T14SQB.2022271T170111.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQB.2022271T170111.v2.0/HLS.S30.T14SQB.2022271T170111.v2.0.B12.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQB.2022271T170111.v2.0/HLS.S30.T14SQB.2022271T170111.v2.0.Fmask.tif'}"
T14SQA,0,2022-04-06,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQA.2022096T165839.v2.0/HLS.S30.T14SQA.2022096T165839.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQA.2022096T165839.v2.0/HLS.S30.T14SQA.2022096T165839.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQA.2022096T165839.v2.0/HLS.S30.T14SQA.2022096T165839.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQA.2022096T165839.v2.0/HLS.S30.T14SQA.2022096T165839.v2.0.B8A.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQA.2022096T165839.v2.0/HLS.S30.T14SQA.2022096T165839.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQA.2022096T165839.v2.0/HLS.S30.T14SQA.2022096T165839.v2.0.B12.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQA.2022096T165839.v2.0/HLS.S30.T14SQA.2022096T165839.v2.0.Fmask.tif'}"
T14SQA,2,2022-04-26,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQA.2022116T165839.v2.0/HLS.S30.T14SQA.2022116T165839.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQA.2022116T165839.v2.0/HLS.S30.T14SQA.2022116T165839.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQA.2022116T165839.v2.0/HLS.S30.T14SQA.2022116T165839.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQA.2022116T165839.v2.0/HLS.S30.T14SQA.2022116T165839.v2.0.B8A.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQA.2022116T165839.v2.0/HLS.S30.T14SQA.2022116T165839.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQA.2022116T165839.v2.0/HLS.S30.T14SQA.2022116T165839.v2.0.B12.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SQA.2022116T165839.v2.0/HLS.S30.T14SQA.2022116T165839.v2.0.Fmask.tif'}"
