tile,timestep,date,save_path,filename
T15RXQ,0,2022-03-26,/data/tiles/HLS.S30.T15RXQ.2022085T163921.v2.0/,HLS.S30.T15RXQ.2022085T163921.v2.0
T15RXQ,1,2022-06-24,/data/tiles/HLS.S30.T15RXQ.2022175T163911.v2.0/,HLS.S30.T15RXQ.2022175T163911.v2.0
T15RXQ,2,2022-09-27,/data/tiles/HLS.S30.T15RXQ.2022270T164039.v2.0/,HLS.S30.T15RXQ.2022270T164039.v2.0
T15RYP,0,2022-03-26,/data/tiles/HLS.S30.T15RYP.2022085T163921.v2.0/,HLS.S30.T15RYP.2022085T163921.v2.0
T15RYP,1,2022-04-10,/data/tiles/HLS.S30.T15RYP.2022100T163839.v2.0/,HLS.S30.T15RYP.2022100T163839.v2.0
T15RYP,2,2022-09-27,/data/tiles/HLS.S30.T15RYP.2022270T164039.v2.0/,HLS.S30.T15RYP.2022270T164039.v2.0
T15RYQ,0,2022-03-01,/data/tiles/HLS.S30.T15RYQ.2022060T164119.v2.0/,HLS.S30.T15RYQ.2022060T164119.v2.0
T15RYQ,1,2022-04-10,/data/tiles/HLS.S30.T15RYQ.2022100T163839.v2.0/,HLS.S30.T15RYQ.2022100T163839.v2.0
T15RYQ,2,2022-09-27,/data/tiles/HLS.S30.T15RYQ.2022270T164039.v2.0/,HLS.S30.T15RYQ.2022270T164039.v2.0
T15STA,0,2022-03-02,/data/tiles/HLS.S30.T15STA.2022061T170221.v2.0/,HLS.S30.T15STA.2022061T170221.v2.0
T15STA,1,2022-06-30,/data/tiles/HLS.S30.T15STA.2022181T165901.v2.0/,HLS.S30.T15STA.2022181T165901.v2.0
T15STA,2,2022-09-28,/data/tiles/HLS.S30.T15STA.2022271T170111.v2.0/,HLS.S30.T15STA.2022271T170111.v2.0
T15STB,0,2022-03-15,/data/tiles/HLS.S30.T15STB.2022074T171051.v2.0/,HLS.S30.T15STB.2022074T171051.v2.0
T15STB,1,2022-07-13,/data/tiles/HLS.S30.T15STB.2022194T170901.v2.0/,HLS.S30.T15STB.2022194T170901.v2.0
T15STB,2,2022-09-26,/data/tiles/HLS.S30.T15STB.2022269T171049.v2.0/,HLS.S30.T15STB.2022269T171049.v2.0
T15STC,0,2022-04-14,/data/tiles/HLS.S30.T15STC.2022104T170851.v2.0/,HLS.S30.T15STC.2022104T170851.v2.0
T15STC,1,2022-06-28,/data/tiles/HLS.S30.T15STC.2022179T170859.v2.0/,HLS.S30.T15STC.2022179T170859.v2.0
T15STC,2,2022-08-12,/data/tiles/HLS.S30.T15STC.2022224T170901.v2.0/,HLS.S30.T15STC.2022224T170901.v2.0
T15STD,0,2022-03-15,/data/tiles/HLS.S30.T15STD.2022074T171051.v2.0/,HLS.S30.T15STD.2022074T171051.v2.0
T15STD,1,2022-06-03,/data/tiles/HLS.S30.T15STD.2022154T170901.v2.0/,HLS.S30.T15STD.2022154T170901.v2.0
T15STD,2,2022-08-12,/data/tiles/HLS.S30.T15STD.2022224T170901.v2.0/,HLS.S30.T15STD.2022224T170901.v2.0
T15STR,0,2022-03-12,/data/tiles/HLS.S30.T15STR.2022071T170111.v2.0/,HLS.S30.T15STR.2022071T170111.v2.0
T15STR,1,2022-06-25,/data/tiles/HLS.S30.T15STR.2022176T165849.v2.0/,HLS.S30.T15STR.2022176T165849.v2.0
T15STR,2,2022-09-28,/data/tiles/HLS.S30.T15STR.2022271T170111.v2.0/,HLS.S30.T15STR.2022271T170111.v2.0
T15STS,0,2022-03-12,/data/tiles/HLS.S30.T15STS.2022071T170111.v2.0/,HLS.S30.T15STS.2022071T170111.v2.0
T15STS,1,2022-06-25,/data/tiles/HLS.S30.T15STS.2022176T165849.v2.0/,HLS.S30.T15STS.2022176T165849.v2.0
T15STS,2,2022-09-28,/data/tiles/HLS.S30.T15STS.2022271T170111.v2.0/,HLS.S30.T15STS.2022271T170111.v2.0
T15STT,0,2022-03-02,/data/tiles/HLS.S30.T15STT.2022061T170221.v2.0/,HLS.S30.T15STT.2022061T170221.v2.0
T15STT,1,2022-05-06,/data/tiles/HLS.S30.T15STT.2022126T165839.v2.0/,HLS.S30.T15STT.2022126T165839.v2.0
T15STT,2,2022-09-28,/data/tiles/HLS.S30.T15STT.2022271T170111.v2.0/,HLS.S30.T15STT.2022271T170111.v2.0
T15STV,0,2022-03-02,/data/tiles/HLS.S30.T15STV.2022061T170221.v2.0/,HLS.S30.T15STV.2022061T170221.v2.0
T15STV,1,2022-07-05,/data/tiles/HLS.S30.T15STV.2022186T165849.v2.0/,HLS.S30.T15STV.2022186T165849.v2.0
T15STV,2,2022-09-28,/data/tiles/HLS.S30.T15STV.2022271T170111.v2.0/,HLS.S30.T15STV.2022271T170111.v2.0
T15SUB,0,2022-03-02,/data/tiles/HLS.S30.T15SUB.2022061T170221.v2.0/,HLS.S30.T15SUB.2022061T170221.v2.0
T15SUB,1,2022-06-30,/data/tiles/HLS.S30.T15SUB.2022181T165901.v2.0/,HLS.S30.T15SUB.2022181T165901.v2.0
T15SUB,2,2022-09-28,/data/tiles/HLS.S30.T15SUB.2022271T170111.v2.0/,HLS.S30.T15SUB.2022271T170111.v2.0
T15SUC,0,2022-04-26,/data/tiles/HLS.S30.T15SUC.2022116T165839.v2.0/,HLS.S30.T15SUC.2022116T165839.v2.0
T15SUC,1,2022-07-10,/data/tiles/HLS.S30.T15SUC.2022191T165911.v2.0/,HLS.S30.T15SUC.2022191T165911.v2.0
T15SUC,2,2022-09-13,/data/tiles/HLS.S30.T15SUC.2022256T165849.v2.0/,HLS.S30.T15SUC.2022256T165849.v2.0
T15SUD,0,2022-03-02,/data/tiles/HLS.S30.T15SUD.2022061T170221.v2.0/,HLS.S30.T15SUD.2022061T170221.v2.0
T15SUD,1,2022-07-10,/data/tiles/HLS.S30.T15SUD.2022191T165911.v2.0/,HLS.S30.T15SUD.2022191T165911.v2.0
T15SUD,2,2022-09-28,/data/tiles/HLS.S30.T15SUD.2022271T170111.v2.0/,HLS.S30.T15SUD.2022271T170111.v2.0
T15SUR,0,2022-03-19,/data/tiles/HLS.S30.T15SUR.2022078T165021.v2.0/,HLS.S30.T15SUR.2022078T165021.v2.0
T15SUR,1,2022-05-28,/data/tiles/HLS.S30.T15SUR.2022148T164851.v2.0/,HLS.S30.T15SUR.2022148T164851.v2.0
T15SUR,2,2022-09-30,/data/tiles/HLS.S30.T15SUR.2022273T165109.v2.0/,HLS.S30.T15SUR.2022273T165109.v2.0
T15SUS,0,2022-03-02,/data/tiles/HLS.S30.T15SUS.2022061T170221.v2.0/,HLS.S30.T15SUS.2022061T170221.v2.0
