chip_id,chip_x,chip_y,tile,valid_first,valid_second,valid_third,bad_pct_first,bad_pct_second,bad_pct_third,first_image_date,second_image_date,third_image_date,bad_pct_max,na_count
chip_297_372,-94.4033014978043,33.61673405252537,15SUT,50142.0,49338.0,50099.0,0.04185267857142857,1.0403380102040816,0.07573341836734694,2022-03-17,2022-04-26,2022-09-23,1.0403380102040816,0.0
chip_074_348,-96.18543073114444,47.03836749300407,14TQT,50150.0,50176.0,50176.0,0.02391581632653061,0.0,0.0,2022-04-27,2022-06-06,2022-08-30,0.02391581632653061,0.0
chip_107_331,-97.63143159924267,45.03025999303864,14TPQ,49889.0,50139.0,50106.0,0.18136160714285715,0.05181760204081633,0.04783163265306122,2022-05-27,2022-08-05,2022-09-04,0.18136160714285715,0.0
chip_193_297,-100.20686272055174,39.79823689756353,14TLK,49923.0,50176.0,50171.0,0.3148915816326531,0.0,0.009964923469387755,2022-03-26,2022-07-09,2022-09-07,0.3148915816326531,0.0
chip_068_319,-98.75198881331984,47.37573053349233,14TNT,5298.0,50105.0,49893.0,67.61399872448979,0.033880739795918366,0.11758609693877552,2022-03-11,2022-06-19,2022-09-27,67.61399872448979,0.0
chip_131_488,-84.52968430919763,43.09147330762576,16TFN,50130.0,50134.0,50176.0,0.04783163265306122,0.04982461734693878,0.0,2022-04-12,2022-06-16,2022-06-21,0.04982461734693878,0.0
chip_285_310,-98.95162951308566,34.31193169937071,14SMD,50140.0,42526.0,50176.0,0.027901785714285716,3.091119260204082,0.0,2022-04-07,2022-06-21,2022-09-29,3.091119260204082,0.0
chip_356_363,-95.10037082462522,30.064202708832727,15RTP,50151.0,50130.0,49862.0,0.03587372448979592,0.04583864795918367,0.332828443877551,2022-03-12,2022-03-27,2022-04-01,0.332828443877551,0.0
chip_169_353,-95.7660099908632,41.30846216152274,15TTF,50176.0,48789.0,49898.0,0.0,0.7413903061224489,0.14548788265306123,2022-03-15,2022-07-13,2022-09-26,0.7413903061224489,0.0
chip_366_353,-95.79960980767656,29.461826847440552,15RTN,50166.0,50161.0,49964.0,0.009964923469387755,0.01594387755102041,0.1833545918367347,2022-03-02,2022-03-12,2022-09-28,0.1833545918367347,0.0
chip_223_374,-94.15256536946283,38.05607051074432,15SUC,50168.0,49156.0,50167.0,0.013950892857142858,0.6158322704081632,0.009964923469387755,2022-04-26,2022-07-10,2022-09-13,0.6158322704081632,0.0
chip_251_581,-78.73498543467876,35.12849777939253,17SQU,49942.0,49803.0,44184.0,0.18933354591836735,0.17737563775510204,2.810108418367347,2022-03-21,2022-04-20,2022-04-25,2.810108418367347,0.0
chip_228_461,-87.48213596583308,37.47202696162753,16SDG,50100.0,49883.0,49898.0,0.04185267857142857,0.13352997448979592,0.1295440051020408,2022-04-27,2022-06-21,2022-07-21,0.13352997448979592,0.0
chip_315_522,-83.702221803673,31.872580518308716,17SKR,50176.0,50175.0,50163.0,0.0,0.001992984693877551,0.011957908163265306,2022-03-02,2022-05-11,2022-06-20,0.011957908163265306,0.0
chip_221_270,-102.19609863346864,38.0332787117168,13SGC,50176.0,50171.0,50176.0,0.0,0.003985969387755102,0.0,2022-03-01,2022-06-14,2022-09-27,0.003985969387755102,0.0
chip_124_410,-90.9673034262357,43.91903873286098,15TXJ,42161.0,50057.0,49916.0,7.768654336734694,0.04783163265306122,0.10961415816326531,2022-03-12,2022-04-21,2022-09-28,7.768654336734694,0.0
chip_274_569,-79.90294309790046,33.89348271382339,17SNT,50176.0,50069.0,50084.0,0.0,0.07573341836734694,0.04583864795918367,2022-03-04,2022-05-18,2022-09-20,0.07573341836734694,0.0
chip_345_441,-89.61552749510179,30.54873152693073,16RBU,50044.0,50065.0,50070.0,0.08968431122448979,0.08769132653061225,0.07573341836734694,2022-03-13,2022-04-27,2022-09-29,0.08968431122448979,0.0
chip_210_551,-80.4391585625198,37.86110431799954,17SNB,50093.0,49771.0,49953.0,0.033880739795918366,0.253109056122449,0.15545280612244897,2022-03-02,2022-05-11,2022-09-23,0.253109056122449,0.0
chip_045_292,-101.24925728733083,48.707205814097776,13UGQ,3.0,50176.0,50176.0,99.99402104591837,0.0,0.0,2022-03-09,2022-07-30,2022-09-18,99.99402104591837,0.0
