tile,count,save_path,filename
T13TDE,4,/data/tiles/HLS.S30.T13TDE.2022091T174909.v2.0/,HLS.S30.T13TDE.2022091T174909.v2.0
T13TDE,5,/data/tiles/HLS.S30.T13TDE.2022096T174911.v2.0/,HLS.S30.T13TDE.2022096T174911.v2.0
T13TDF,0,/data/tiles/HLS.S30.T13TDF.2022091T174909.v2.0/,HLS.S30.T13TDF.2022091T174909.v2.0
T13TDF,1,/data/tiles/HLS.S30.T13TDF.2022096T174911.v2.0/,HLS.S30.T13TDF.2022096T174911.v2.0
T13TDF,2,/data/tiles/HLS.S30.T13TDF.2022101T174909.v2.0/,HLS.S30.T13TDF.2022101T174909.v2.0
T13TDF,3,/data/tiles/HLS.S30.T13TDF.2022116T174911.v2.0/,HLS.S30.T13TDF.2022116T174911.v2.0
T13TDF,4,/data/tiles/HLS.S30.T13TDF.2022131T174909.v2.0/,HLS.S30.T13TDF.2022131T174909.v2.0
T13TDF,5,/data/tiles/HLS.S30.T13TDF.2022136T174911.v2.0/,HLS.S30.T13TDF.2022136T174911.v2.0
T13TDG,0,/data/tiles/HLS.S30.T13TDG.2022066T175201.v2.0/,HLS.S30.T13TDG.2022066T175201.v2.0
T13TDG,1,/data/tiles/HLS.S30.T13TDG.2022076T175101.v2.0/,HLS.S30.T13TDG.2022076T175101.v2.0
T13TDG,2,/data/tiles/HLS.S30.T13TDG.2022086T174951.v2.0/,HLS.S30.T13TDG.2022086T174951.v2.0
T13TDG,3,/data/tiles/HLS.S30.T13TDG.2022096T174911.v2.0/,HLS.S30.T13TDG.2022096T174911.v2.0
T13TDG,4,/data/tiles/HLS.S30.T13TDG.2022116T174911.v2.0/,HLS.S30.T13TDG.2022116T174911.v2.0
T13TDG,5,/data/tiles/HLS.S30.T13TDG.2022121T174859.v2.0/,HLS.S30.T13TDG.2022121T174859.v2.0
T13TDK,0,/data/tiles/HLS.S30.T13TDK.2022079T180041.v2.0/,HLS.S30.T13TDK.2022079T180041.v2.0
T13TDK,1,/data/tiles/HLS.S30.T13TDK.2022081T174919.v2.0/,HLS.S30.T13TDK.2022081T174919.v2.0
T13TDK,2,/data/tiles/HLS.S30.T13TDK.2022091T174909.v2.0/,HLS.S30.T13TDK.2022091T174909.v2.0
T13TDK,3,/data/tiles/HLS.S30.T13TDK.2022094T175909.v2.0/,HLS.S30.T13TDK.2022094T175909.v2.0
T13TDK,4,/data/tiles/HLS.S30.T13TDK.2022101T174909.v2.0/,HLS.S30.T13TDK.2022101T174909.v2.0
T13TDK,5,/data/tiles/HLS.S30.T13TDK.2022111T174859.v2.0/,HLS.S30.T13TDK.2022111T174859.v2.0
T13TDL,0,/data/tiles/HLS.S30.T13TDL.2022074T180019.v2.0/,HLS.S30.T13TDL.2022074T180019.v2.0
T13TDL,1,/data/tiles/HLS.S30.T13TDL.2022094T175909.v2.0/,HLS.S30.T13TDL.2022094T175909.v2.0
T13TDL,2,/data/tiles/HLS.S30.T13TDL.2022114T175909.v2.0/,HLS.S30.T13TDL.2022114T175909.v2.0
T13TDL,3,/data/tiles/HLS.S30.T13TDL.2022144T175909.v2.0/,HLS.S30.T13TDL.2022144T175909.v2.0
T13TDL,4,/data/tiles/HLS.S30.T13TDL.2022149T175921.v2.0/,HLS.S30.T13TDL.2022149T175921.v2.0
T13TDL,5,/data/tiles/HLS.S30.T13TDL.2022154T175909.v2.0/,HLS.S30.T13TDL.2022154T175909.v2.0
T13TDM,0,/data/tiles/HLS.S30.T13TDM.2022074T180019.v2.0/,HLS.S30.T13TDM.2022074T180019.v2.0
T13TDM,1,/data/tiles/HLS.S30.T13TDM.2022079T180041.v2.0/,HLS.S30.T13TDM.2022079T180041.v2.0
T13TDM,2,/data/tiles/HLS.S30.T13TDM.2022094T175909.v2.0/,HLS.S30.T13TDM.2022094T175909.v2.0
T13TDM,3,/data/tiles/HLS.S30.T13TDM.2022099T175911.v2.0/,HLS.S30.T13TDM.2022099T175911.v2.0
T13TDM,4,/data/tiles/HLS.S30.T13TDM.2022104T175909.v2.0/,HLS.S30.T13TDM.2022104T175909.v2.0
T13TDM,5,/data/tiles/HLS.S30.T13TDM.2022114T175909.v2.0/,HLS.S30.T13TDM.2022114T175909.v2.0
T13TEE,0,/data/tiles/HLS.S30.T13TEE.2022083T174001.v2.0/,HLS.S30.T13TEE.2022083T174001.v2.0
T13TEE,1,/data/tiles/HLS.S30.T13TEE.2022103T173911.v2.0/,HLS.S30.T13TEE.2022103T173911.v2.0
T13TEE,2,/data/tiles/HLS.S30.T13TEE.2022128T173859.v2.0/,HLS.S30.T13TEE.2022128T173859.v2.0
T13TEE,3,/data/tiles/HLS.S30.T13TEE.2022143T173911.v2.0/,HLS.S30.T13TEE.2022143T173911.v2.0
T13TEE,4,/data/tiles/HLS.S30.T13TEE.2022153T173911.v2.0/,HLS.S30.T13TEE.2022153T173911.v2.0
T13TEE,5,/data/tiles/HLS.S30.T13TEE.2022163T173911.v2.0/,HLS.S30.T13TEE.2022163T173911.v2.0
