chip_id,chip_x,chip_y,tile
chip_184_236,-105.08568737338979,40.081250517633606,13TDE
chip_273_471,-87.04345248481722,34.72801983551836,16SDD
chip_254_259,-102.86032624395654,36.013563474263215,13SFV
chip_085_328,-97.92577178518833,46.3576747215992,14TNS
chip_056_317,-98.9620976057409,48.10244662140332,14UMU
chip_145_497,-83.9361006636732,42.1894933114512,17TKG
chip_309_517,-84.00234192188111,32.27005285136423,16SGA
chip_119_559,-78.55146429371703,43.157858613093,17TPH
chip_226_289,-100.7103110522429,37.79944021923629,14SLG
chip_113_607,-74.55293670786753,42.92441271918346,18TWN
chip_245_592,-77.84726315623456,35.360329878512324,18STE
chip_144_445,-88.17556079770571,42.57579772550064,16TCN
chip_251_284,-100.99384908204377,36.286731754096834,14SLF
chip_096_323,-98.33755854196504,45.685018236930645,14TNR
chip_110_377,-93.71037487858234,44.83959706557832,15TVK
chip_267_480,-86.33602031694807,35.033827318290605,16SED
chip_120_556,-78.81152427746368,43.13139906548834,17TPH
chip_254_271,-101.9592993499335,36.06209595215615,13SGA
chip_151_493,-84.3215046264025,41.861786931997734,17TKG
chip_329_497,-85.584626955153,31.213540335745275,16RFV
chip_179_238,-104.96483423955249,40.391187613984144,13TDE
chip_116_114,-115.71242154196194,43.0167643722236,11TPH
chip_117_574,-77.29708031896317,43.10539339093058,18TUN
chip_217_335,-97.17410377954802,38.42425781018699,14SPH
chip_059_087,-119.0191032617381,46.00645178942317,11TLM
chip_057_192,-110.03346664898643,47.360984533033005,12TWT
chip_273_459,-87.92800555576935,34.79252289569854,16SDD
chip_136_480,-85.23634098324789,42.849077691797326,16TFN
chip_185_613,-75.35270962715414,38.62942708675303,18SVH
chip_122_576,-77.21581019489383,42.78689785606547,18TUN
chip_100_367,-94.5486609564339,45.45548425407891,15TUL
chip_060_258,-104.19186005240802,47.64827416985636,13TEN
chip_083_208,-108.33274798989925,45.933088698936935,12TYR
chip_151_469,-86.26798437711888,42.02385331408107,16TEM
chip_297_352,-95.86209907523028,33.62785043204646,15STT
chip_230_282,-101.23187723325765,37.53798301976817,14SKG
chip_329_508,-84.81160529560859,31.138175741210446,16RGV
chip_111_418,-90.2305514206567,44.67437397251899,15TYK
chip_059_320,-98.68627151992732,47.92513373950014,14UNU
chip_123_582,-76.74687512152792,42.65624601858069,18TUN
chip_239_330,-97.53496828358878,37.10100233994633,14SPG
chip_119_556,-78.79657585710059,43.19058737524999,17TPH
chip_257_445,-88.87291127714144,35.81732690251624,16SCE
chip_094_385,-92.98642010924544,45.79272094751484,15TVL
chip_273_467,-87.33813822325524,34.75026383979884,16SDD
chip_282_561,-80.57550103169486,33.49845125078863,17SNT
chip_282_265,-102.27100872103337,34.360978918446946,13SGU
chip_257_276,-101.57031210890004,35.90058688344754,14SKE
chip_235_445,-88.74704115609967,37.13336305990107,16SCG
chip_180_242,-104.63951751897659,40.35365028664632,13TEE
chip_330_501,-85.31130222470051,31.126731080765285,16RFV
chip_247_581,-78.68120969614321,35.36487677806174,17SQV
chip_282_262,-102.49137872278199,34.348880657612334,13SGU
chip_246_444,-88.88600771988295,36.48000114665043,16SCF
chip_257_446,-88.79808856746965,35.81280649529129,16SCE
chip_107_376,-93.78954916167129,45.02211439101624,15TVK
chip_254_265,-102.40995706691228,36.03868139951154,13SGV
chip_136_487,-84.66162210383297,42.800234140381,16TFN
chip_149_493,-84.30148400569686,41.981015997598625,17TKG
chip_330_499,-85.45180856450176,31.140203029878364,16RFV
chip_127_445,-88.0586918033413,43.59507638463272,16TDP
chip_238_335,-97.15428417680283,37.16520926835521,14SPG
chip_140_482,-85.10986541401947,42.59644317166906,16TFN
chip_125_503,-83.22960508231291,43.334942879243776,17TLJ
chip_125_446,-87.96127400752638,43.71003588026256,16TDP
chip_134_497,-83.82094959199596,42.84537137720836,16TGN
chip_095_377,-93.67919074657395,45.74582182876752,15TVL
chip_275_474,-86.83679207856014,34.59124184346174,16SED
chip_182_239,-104.86302701959538,40.21764244150235,13TEE
chip_131_472,-85.85002161931199,43.200897875528824,16TEN
chip_251_288,-100.69219888725598,36.29895660459034,14SLF
chip_267_371,-94.44047881294507,35.42045402914984,15SUV
chip_170_346,-96.33210586981721,41.24835039542392,14TQL
chip_116_448,-87.72893823812817,44.24002945213871,16TDQ
chip_329_498,-85.51429348976147,31.206911444586474,16RFV
chip_244_335,-97.1487437395363,36.80539025083429,14SPF
chip_113_423,-89.81784363860044,44.53498443790778,15TYK
chip_062_120,-116.16909638625833,46.279722890106775,11TNM
chip_193_407,-91.49385588610002,39.78797301268284,15TXE
chip_238_458,-87.77784281831633,36.89062648107386,16SDF
chip_136_485,-84.82574434653158,42.81444706715997,16TFN
chip_098_386,-92.91133283464788,45.54894240504858,15TWL
chip_273_470,-87.1171079486275,34.733650441938515,16SDD
chip_224_325,-97.93989764495836,37.99480738864269,14SNH
chip_257_266,-102.31986302249817,35.86306721476982,13SGV
chip_119_374,-93.98200011389419,44.30085882696776,15TVK
chip_088_326,-98.09416443326472,46.17338238864646,14TNS
chip_082_349,-96.09690852585028,46.55309336501019,14TQS
chip_224_375,-94.07699788805834,37.99507392567527,15SVC
chip_156_466,-86.55246631696767,41.743204759866366,16TEM
chip_273_466,-87.41183598823112,34.755708801580234,16SDD
chip_126_305,-99.78531329498422,43.84011480700494,14TMP
chip_167_456,-87.44354866148032,41.1425250163476,16TDL
chip_108_438,-88.51709363758731,44.77089970935582,16TCQ
chip_144_497,-83.92572195489467,42.24909913468326,17TKG
chip_119_503,-83.16231413326246,43.69290739757277,17TLJ
chip_097_302,-100.14277292198798,45.58126619658861,14TMR
chip_217_289,-100.74491928690952,38.3383713617131,14SLH
chip_048_091,-118.91010537603641,46.711774052197086,11TLM
chip_219_313,-98.87821492625797,38.276252343554646,14SNH
chip_109_442,-88.18502524173142,44.69133364456741,16TDQ
chip_062_335,-97.34449634991265,47.7618323613464,14TPT
chip_103_372,-94.12421887136506,45.26889449433498,15TVL
chip_077_322,-98.46625541419704,46.83433832381601,14TNS
chip_129_445,-88.07262156362003,43.47507883992433,16TDP
chip_143_497,-83.9153254693406,42.30870861870339,17TKG
chip_156_402,-91.75864551964435,42.01993479342162,15TWG
chip_080_600,-74.50501645564016,44.956858976683854,18TWQ
chip_108_376,-93.79153286015982,44.961742593369756,15TVK
chip_281_264,-102.34938837623963,34.41695999351796,13SGU
chip_044_220,-107.71722461569505,48.375997280867104,12UYU
chip_077_306,-99.86879098612106,46.80197717950354,14TMS
chip_088_324,-98.26782301353586,46.17060232305399,14TNS
chip_323_315,-98.5101691924431,32.03399069697489,14SNA
chip_218_328,-97.71654948157055,38.3579283870523,14SPH
chip_222_332,-97.40146422427601,38.12207764322765,14SPH
chip_127_479,-85.23437499374147,43.39391254132427,16TFP
chip_156_598,-76.02432842515223,40.519717885938746,18TVK
chip_251_590,-78.07769953404815,35.0291587002635,17SQU
chip_130_506,-83.03871168739843,43.01247152569434,17TLH
chip_087_202,-108.80080089783088,45.64529381824544,12TXR
chip_102_332,-97.55323444522864,45.3334403181942,14TPR
chip_251_446,-88.76384176186684,36.17182573541609,16SCF
chip_239_285,-100.96577016109403,37.00870127378204,14SLG
chip_159_617,-74.59642969664156,40.09782709551528,18TWK
chip_177_603,-75.9843985557349,39.22543302299089,18SVJ
chip_118_555,-78.86342521648425,43.26059817844198,17TPH
chip_247_428,-90.09957487745902,36.48582361918694,15SYA
chip_143_444,-88.25094287560181,42.64063737700117,16TCN
chip_150_494,-84.230533549005,41.914005037300726,17TKG
chip_177_269,-102.50604010624969,40.66201351538782,13TGF
chip_097_367,-94.54471380659662,45.63687501169394,15TUL
chip_052_043,-122.85004800672242,45.72483574118342,10TER
chip_174_587,-77.17045661126684,39.59629492380654,18SUJ
chip_182_237,-105.02161561294311,40.206370927240464,13TDE
chip_095_371,-94.1968817333099,45.75369774692536,15TVL
chip_213_438,-89.15936351882208,38.47993780823301,16SCH
chip_208_424,-90.22244723276255,38.834734844258534,15SYD
chip_117_560,-78.43929484613722,43.265152501358045,17TQH
chip_103_430,-89.16518883386387,45.1083033262115,16TCR
chip_180_610,-75.49765509531929,38.96083855016026,18SVJ
chip_125_502,-83.31213920126201,43.34298065044579,16TGP
chip_366_355,-95.6612234439574,29.461618580275115,15RTN
chip_077_616,-73.11874343118352,44.909568773117925,18TXQ
chip_233_332,-97.38902268769682,37.46260676964761,14SPG
chip_220_316,-98.64350244634622,38.221548049833444,14SNH
chip_154_422,-90.11739855425864,42.07595042572212,16TBM
chip_081_354,-95.65982635240672,46.61335266777385,14TQS
chip_253_264,-102.49017450403042,36.09447992677032,13SGA
chip_165_265,-102.89552632612444,41.363493657576626,13TFF
chip_140_483,-85.02802505723729,42.58954325662849,16TFN
chip_152_479,-85.46489192008636,41.90018868979749,16TFM
chip_117_564,-78.11240883091942,43.22051781398898,17TQH
chip_126_502,-83.32321592904952,43.28333013245456,16TGP
chip_224_333,-97.32193278283256,38.00303849167197,14SPH
chip_110_336,-97.2015232044823,44.85376884717698,14TPQ
chip_061_306,-99.92674427474942,47.773733294095734,14TMT
chip_118_567,-77.88326989838913,43.127431181384445,17TQH
chip_119_466,-86.24386602680002,43.957273559991506,16TEP
chip_220_306,-99.41791753944177,38.20243107865528,14SMH
chip_168_325,-98.03241088684008,41.35272240248898,14TNL
chip_236_445,-88.75285871206002,37.07356642356936,16SCG
chip_330_502,-85.24106661004117,31.11992840993965,16RFV
chip_151_489,-84.64527937913705,41.89083179518891,16TFM
chip_135_430,-89.35625778106602,43.184153269414495,15TYH
chip_100_368,-94.46274980998848,45.45453367999584,15TUL
chip_264_466,-87.35130484864098,35.29402824919309,16SDE
chip_068_315,-99.10582729793623,47.36836752882072,14TMT
chip_122_510,-82.61738040250955,43.45602286389296,17TLJ
chip_244_591,-77.90638934868564,35.430660547445456,18STE
chip_140_445,-88.14837204456943,42.81549304121653,16TDN
chip_065_117,-116.3685965275908,46.06365466254677,11TNM
chip_239_598,-77.32093967718735,35.64442316984905,18STE
chip_105_361,-95.06838447114124,45.15788256068674,15TUL
chip_120_554,-78.97492492339425,43.152944077117944,17TPH
chip_106_422,-89.86414260377951,44.960487699129885,15TYK
chip_095_362,-94.97360933181018,45.76180403119532,15TUL
chip_120_555,-78.89321181863487,43.142196924244175,17TPH
chip_117_563,-78.19409049880959,43.23175244393667,17TQH
chip_243_333,-97.30182434748127,36.86381712148946,14SPF
chip_115_583,-76.53194352634806,43.115288404259815,18TUN
chip_227_304,-99.55248353064358,37.778624632856875,14SMG
chip_107_414,-90.55024019856707,44.9296446446691,15TXK
chip_124_583,-76.68275915766944,42.58524090616441,18TUN
chip_369_348,-96.14579936324134,29.280116253807396,14RQT
chip_060_079,-119.66945219427814,45.829978261284865,10TGR
chip_115_567,-77.83595299167253,43.304680382404435,17TQJ
chip_250_446,-88.75810233157003,36.23165239818172,16SCF
chip_254_270,-102.03442815867412,36.05831188101715,13SGV
chip_128_126,-114.5437114148861,42.453998160751645,11TPH
chip_174_493,-84.54693494535864,40.491430405741866,16TGK
chip_145_447,-88.01832224957938,42.50590337117229,16TDN
chip_151_604,-75.46980610245564,40.7367800471812,18TVL
chip_182_238,-104.9423275603441,40.21203158880002,13TEE
chip_116_379,-93.55330611000682,44.47464861604486,15TVK
chip_119_568,-77.81754863290843,43.056940475771896,17TQH
chip_094_380,-93.41805084467782,45.80162681375221,15TVL
chip_198_594,-77.00498480663649,38.10276700951394,18SUH
chip_221_307,-99.33777430667907,38.144645028273956,14SMH
chip_311_470,-87.37200136470761,32.45706357197117,16SDA
chip_080_176,-111.10860392707211,45.834103902195686,12TVR
chip_147_496,-84.03792626166994,42.07786013350373,17TKG
chip_097_316,-98.93813667930651,45.61280329422038,14TMR
chip_123_581,-76.82766268881468,42.66831883670654,18TUN
chip_091_358,-95.31638806249234,46.00607265824252,14TQS
chip_127_482,-84.98601186210976,43.37326540006478,16TFP
chip_009_061,-122.37290008147666,48.53813442334192,10UEU
chip_113_378,-93.63162831113021,44.65710919548474,15TVK
chip_138_477,-85.50113249059895,42.7496953567917,16TFN
chip_188_428,-89.80879502164723,40.01652360311581,16TBK
chip_105_452,-87.30802099724785,44.87950818481266,16TDQ
chip_091_334,-97.39557504660888,46.00062931696876,14TPR
chip_115_565,-77.9994526423171,43.32744601794029,17TQJ
chip_149_497,-83.97743863490923,41.9511051102428,17TKG
chip_223_437,-89.29178059439691,37.88618368148595,16SBG
chip_062_313,-99.3010418227267,47.72909666793136,14TMT
chip_317_528,-83.29712895441493,31.705620180057906,17SKR
chip_238_330,-97.53620205875588,37.16096490051106,14SPG
chip_255_266,-102.32985774006204,35.98282671374035,13SGV
chip_132_472,-85.8588738982926,43.141068807914515,16TEN
chip_222_289,-100.72563001188952,38.038971134334105,14SLH
chip_245_334,-97.22378513071837,36.74466600365379,14SPF
chip_223_288,-100.79892857740445,37.976087462588126,14SLH
chip_139_444,-88.22399019368169,42.88037078804926,16TCN
chip_099_495,-83.60863752050146,44.952160426212345,16TGQ
chip_314_516,-84.11818576713792,31.978484358952485,16SGA
chip_070_352,-95.83300412163395,47.281562259198886,14TQT
chip_152_469,-86.27633065089158,41.964094424620605,16TEM
chip_222_281,-101.34304782285157,38.01357395233821,14SKH
chip_087_355,-95.57474072884087,46.24939320605966,14TQS
chip_101_330,-97.72629573605819,45.391788025140414,14TNR
chip_330_503,-85.17084279726325,31.11308128728556,16RFV
chip_089_356,-95.48872390580287,46.127943009122276,14TQS
chip_223_438,-89.21483818454492,37.8819307337551,16SCH
chip_318_529,-83.2361078531237,31.637749985761676,17SKR
chip_161_536,-80.98716098252794,40.90586162575258,17TMF
chip_106_442,-88.16403521781709,44.87179686692268,16TDQ
chip_103_374,-93.95289208662345,45.26640024825835,15TVL
chip_235_444,-88.82318427499435,37.13791160995962,16SCG
chip_142_443,-88.32646609163237,42.70543926279135,16TCN
chip_107_375,-93.87489662761571,45.023491868946245,15TVK
chip_084_363,-94.87606856661766,46.42724546856365,15TUM
chip_100_360,-95.15009754908885,45.4606080609189,15TUL
chip_132_300,-100.18222361012428,43.46648527167238,14TLP
chip_060_196,-109.64539934410686,47.21584251886268,12TWT
chip_065_309,-99.64629217103702,47.5377496095618,14TMT
chip_107_422,-89.86964067741873,44.90023394653541,15TYK
chip_084_207,-108.40728522779813,45.865216953188494,12TXR
chip_421_324,-97.73871274159596,26.098233254784574,14RPP
chip_370_349,-96.07662397833994,29.219525416093546,14RQT
chip_144_498,-83.84441350575058,42.241459310973404,16TGM
chip_155_469,-86.30128409611602,41.784839088188605,16TEM
chip_344_459,-88.35068022365121,30.528881156254844,16RCU
chip_134_472,-85.87653238900185,43.02142597627005,16TEN
chip_087_351,-95.92255611857424,46.25003419057954,14TQS
chip_063_084,-119.18759409140776,45.72777471944818,11TLL
chip_221_316,-98.64134894843349,38.16161684962793,14SNH
chip_096_491,-83.91455585169103,45.16287891754973,16TGR
chip_315_519,-83.9146627190366,31.895884775515015,17SKR
chip_148_501,-83.64309464073284,41.97994649170576,16TGM
chip_093_356,-95.49058490584238,45.885764477144434,14TQR
chip_328_502,-85.2250729367619,31.239965573537344,16RFV
chip_178_268,-102.58045308150565,40.59803075324265,13TFF
chip_200_323,-98.1360335090203,39.43084033275767,14SNJ
chip_088_302,-100.17681344839038,46.12542623166262,14TMS
chip_118_448,-87.74358263675329,44.119921907616146,16TDP
chip_225_372,-94.31009358823827,37.938547483665076,15SUC
chip_100_388,-92.74524096000741,45.42405194899809,15TWL
chip_101_364,-94.80748626890194,45.39756053628291,15TUL
chip_152_477,-85.62706014380736,41.91337733110209,16TFM
chip_053_344,-96.54828919135652,48.315804408702306,14UPU
chip_220_311,-99.03076032364055,38.21259995933904,14SMH
chip_119_585,-76.43729813766151,42.85519517447553,18TUN
chip_221_292,-100.49764995076515,38.107580602782726,14SLH
chip_252_265,-102.42011757901675,36.15841794457055,13SGA
chip_333_508,-84.844724116369,30.898142741191894,16RGV
chip_089_363,-94.88120063634044,46.1243070043132,15TUM
chip_158_462,-86.89209695750557,41.64708376748876,16TEM
chip_082_354,-95.66013903619962,46.552705787680125,14TQS
chip_123_446,-87.94710040982531,43.83007227938037,16TDP
chip_253_416,-91.03053787258877,36.16758500953313,15SXA
chip_129_142,-113.2348961069399,42.574935811253084,12TUN
chip_220_462,-87.3501206033347,37.94448327571993,16SDH
chip_058_192,-110.02046679932299,47.300851923765194,12TWT
chip_214_429,-89.86280592751956,38.45693811610611,16SBH
chip_105_374,-93.95657642249544,45.14559015309709,15TVL
chip_122_380,-93.48211671822266,44.11142421369324,15TVJ
chip_241_474,-86.58854353374639,36.622543654631144,16SEF
chip_330_498,-85.52207914187358,31.146872289776777,16RFV
chip_138_494,-84.10834574551627,42.629555030339475,16TGN
chip_242_590,-77.95151761093481,35.55991027756154,17SQV
chip_265_567,-79.93655712560066,34.44721322742292,17SNU
chip_291_134,-111.69163307053346,32.912734117863344,12SVB
chip_139_487,-84.691052018728,42.62112471080473,16TFN
chip_069_326,-98.13116848850181,47.32601759468566,14TNT
chip_237_591,-77.80695175441568,35.84321055303374,18STE
chip_107_106,-116.51999664605174,43.445133027650954,11TNJ
chip_120_509,-82.67666967127455,43.583681742409574,17TLJ
chip_115_487,-84.45126576443387,44.05525590303881,16TFP
chip_148_478,-85.5100227885119,42.14565368219596,16TFM
chip_181_237,-105.02917092036908,40.26608306798451,13TDE
chip_138_430,-89.37362511176735,43.00410015201913,15TYH
chip_241_331,-97.45631034301888,36.98201567629851,14SPF
chip_182_606,-75.83671384638775,38.89458227168197,18SVJ
chip_097_379,-93.51117551352166,45.62181453839413,15TVL
chip_051_173,-111.77843155659689,47.54091825475726,12TVT
chip_274_468,-87.27123771377921,34.68494662878514,16SDD
chip_061_298,-100.63788374025768,47.75179187553791,14TLT
chip_145_445,-88.18232865600191,42.515885650391056,16TCN
chip_198_311,-99.08610538411574,39.5309543077099,14SMJ
chip_165_469,-86.38354824622644,41.187529516464,16TEL
chip_153_480,-85.39291542758411,41.83382775694515,16TFM
chip_110_419,-90.14055030082964,44.73091928395775,15TYK
chip_298_352,-95.86220483490423,33.56768870261911,15STT
chip_233_334,-97.23563733577272,37.46426280227136,14SPG
chip_055_144,-114.23557248346879,46.98787710822129,11TQN
chip_168_268,-102.63632780892961,41.196674289757524,13TFF
chip_218_431,-89.72817224916655,38.2098107580276,16SBH
chip_147_478,-85.5009978880767,42.20537416429922,16TFM
chip_125_492,-84.13852011175244,43.42051129640564,16TGP
chip_154_478,-85.56384934084213,41.78740679851279,16TFM
chip_081_355,-95.57239322133287,46.61310765888909,14TQS
chip_107_417,-90.29494602561029,44.919020051216215,15TYK
chip_063_345,-96.45425538806744,47.706716433664475,14TPT
chip_164_420,-90.32942301399208,41.48376529410042,16TBM
chip_127_502,-83.33427344789641,43.223684568012416,17TLH
chip_114_423,-89.82334834175336,44.474789732239245,15TYK
chip_183_356,-95.52914687482702,40.46780467035159,15TTE
chip_084_357,-95.39918755309378,46.43054593833544,14TQS
chip_310_542,-82.23888267851581,32.006620801063555,17SLR
chip_077_347,-96.27287030914815,46.8562071658658,14TQS
chip_104_370,-94.29709318548605,45.21075642613199,15TUL
chip_135_484,-84.89819658004353,42.881208558949474,16TFN
chip_244_334,-97.22476412365356,36.80464126169372,14SPF
chip_102_375,-93.86530922056426,45.32548848893113,15TVL
chip_276_473,-86.91734972069567,34.537188806742016,16SED
chip_181_239,-104.87045107410302,40.27736437335346,13TEE
chip_137_478,-85.40989095199248,42.802802084162046,16TFN
chip_219_336,-97.09461392173762,38.30507456041821,14SPH
