old_class_value,total_count,percentage,cum_percentage,class_name,new_class_value_16,new_class_value
250,25416,2.96E-06,0.99998388,Cranberries,16,13
247,19755,2.30E-06,0.999986182,Turnips,16,13
30,18951,2.21E-06,0.99998839,Speltz,16,13
244,18422,2.15E-06,0.999990537,Cauliflower,16,13
231,17228,2.01E-06,0.999992544,Dbl Crop Lettuce/Cantaloupe,16,13
241,15738,1.83E-06,0.999994378,Dbl Crop Corn/Soybeans,16,13
213,12093,1.41E-06,0.999995788,Honeydew Melons,16,13
218,11613,1.35E-06,0.999997141,Nectarines,16,13
224,7010,8.17E-07,0.999997958,Vetch,16,13
245,3955,4.61E-07,0.999998419,Celery,16,13
34,3771,4.39E-07,0.999998858,Rape Seed,16,13
248,3550,4.14E-07,0.999999272,Eggplants,16,13
223,2087,2.43E-07,0.999999515,Apricots,16,13
233,1805,2.10E-07,0.999999725,Dbl Crop Lettuce/Barley,16,13
249,1610,1.88E-07,0.999999913,Gourds,16,13
230,748,8.72E-08,1,Dbl Crop Lettuce/Durum Wht,16,13
88,0,0,1,Nonag/Undefined,16,13
239,0,0,1,Dbl Crop Soybeans/Cotton,16,13
235,0,0,1,Dbl Crop Barley/Sorghum,16,13
234,0,0,1,Dbl Crop Durum Wht/Sorghum,16,13
87,0,0,1,Wetlands,16,13
62,0,0,1,Pasture/Grass,16,13
63,0,0,1,Forest,16,13
64,0,0,1,Shrubland,16,13
65,0,0,1,Barren,16,13
81,0,0,1,Clouds/No Data,16,13
83,0,0,1,Water,16,13
82,0,0,1,Developed,16,13
